Pais,id_sede,red_social,url
Nigeria,ENIGE,facebook,https://www.facebook.com/ArgentinaEnNigeria/
Nigeria,ENIGE,instagram,https://www.instagram.com/embargennigeria/?igshid=f0laoeu8lhv8
Norway,ENORU,facebook,https://www.facebook.com/ArgentinaEnNoruega/
Norway,ENORU,instagram,https://www.instagram.com/ARGenNoruega/
Pakistan,EPAKI,twitter,https://twitter.com/EmbajadadeArge1
Panama,EPNMA,desconocido,@ArgentinaEnPanama
Paraguay,CASUN,desconocido,@ArgentinaEnAsuncion
Paraguay,CCEST,facebook,https://www.facebook.com/ArgEnCiudaddeleste/
Paraguay,CCEST,instagram,https://www.instagram.com/argenciudaddeleste
Paraguay,EPARA,facebook,https://www.facebook.com/embajada.paraguay
Paraguay,EPARA,twitter,https://twitter.com/argenparaguay_
Peru,EPERU,facebook,https://www.facebook.com/ArgentinaEnPeru
Peru,EPERU,twitter,https://twitter.com/Emb_Arg_Peru
Philippines,EFILI,facebook,https://www.facebook.com/ArgentinaEnFilipinas
Philippines,EFILI,instagram,https://www.instagram.com/argentinaenfilipinas/
Philippines,EFILI,twitter,https://twitter.com/ArgentinaEnFili
Poland,EPOLO,facebook,https://www.facebook.com/Embajada-de-la-Rep%C3%BAblica-Argentina-en-Polonia-1726942037398853/
Qatar,EQATR,desconocido,@embargenqatar
Qatar,EQATR,desconocido,@embargenqatar
Romania,ERUMA,facebook,https://www.facebook.com/ArgentinaEnRumania
Romania,ERUMA,instagram,https://www.instagram.com/argentinaenrumania
Russian Federation,EFRUS,facebook,https://www.facebook.com/EMBAJADAARGENTINAENMOSCU
Russian Federation,EFRUS,twitter,https://twitter.com/EmbArgRusia
Saudi Arabia,EARAB,facebook,https://www.facebook.com/argentinaenarabiasaudita/
Saudi Arabia,EARAB,instagram,https://www.instagram.com/arginsaudi/
Saudi Arabia,EARAB,twitter,https://twitter.com/ensaudita
Senegal,ESENE,desconocido,@ARGenSenegal
Serbia,ESERB,desconocido,Facebook.com/ArgentinaEnSerbia
Serbia,ESERB,desconocido,Instagram.com/ARGinSerbia
Singapore,ESING,instagram,https://instagram.com/argentine_embassy_singapore?igshid=YmMyMTA2M2Y=
Singapore,ESING,twitter,https://twitter.com/ARGinSingapore
South Africa,ESAFR,facebook,facebook.com/ArgenSudafrica
South Africa,ESAFR,instagram,https://www.instagram.com/argentinaensudafrica
South Africa,ESAFR,twitter,https://twitter.com/EmbArgentina
Spain,CBARC,desconocido,Consulado  Argentino  en  Barcelona
Spain,CBARC,facebook,facebook.com/ArgEnBarcelona
Spain,CBARC,instagram,instagram.com/argenbarcelona
Spain,CBARC,linkedin,linkedin.com/company/consulado-y-centro-de-promoci%C3%B3n-de-la-republica-argentina-en-barcelona/mycompany/
Spain,CBARC,twitter,twitter.com/ARGenBarcelona
Spain,CCADI,facebook,www.facebook.com/ArgentinaEnCadiz
Spain,CMADR,facebook,https://www.facebook.com/ArgentinaEnMadridEsp/
Spain,CMALL,facebook,https://www.facebook.com/ArgentinaEnPalmaDeMallorca
Spain,CTENE,facebook,www.facebook.com/argentinaentenerife
Spain,CVIGO,facebook,facebook.com/ArgentinaenVigo
Spain,CVIGO,instagram,https://www.instagram.com/argenvigo/
Spain,EESPA,facebook,https://www.facebook.com/argenespa/
Spain,EESPA,instagram,https://www.instagram.com/argenespa/
Spain,EESPA,twitter,https://twitter.com/ARGenesp
Sweden,ESUEC,facebook,https://www.facebook.com/arginsweden/
Sweden,ESUEC,instagram,https://www.instagram.com/arginsweden/
Sweden,ESUEC,linkedin,https://se.linkedin.com/showcase/arginsweden
Switzerland,EOIRS,facebook,https://www.facebook.com/ArgentinaEnGinebra
Switzerland,EOIRS,instagram,www.instagram.com/misionargentinaonu
Switzerland,EOIRS,twitter,https://twitter.com/ArgentinaONUOMC
Switzerland,EOIRS,youtube,https://www.youtube.com/channel/UCSOsChik8j7nFJZnPq6K7Ag
Thailand,ETAIL,facebook,https://www.facebook.com/ArgEnTailandiaBangkok/?tn-str=k*F
