id,nombre,PBI,region
SVN,Slovenia,28439.3340989687,Europe & Central Asia
SWE,Sweden,56373.7885792007,Europe & Central Asia
SWZ,Eswatini,3986.88663743798,Sub-Saharan Africa
SXM,Sint Maarten (Dutch part),35873.0564894806,Latin America & Caribbean
SYC,Seychelles,13250.4558332375,Sub-Saharan Africa
TCA,Turks and Caicos Islands,24917.595805527,Latin America & Caribbean
TCD,Chad,716.804381134584,Sub-Saharan Africa
TGO,Togo,942.649901579536,Sub-Saharan Africa
THA,Thailand,6909.9562847948,East Asia & Pacific
TJK,Tajikistan,1054.18948358818,Europe & Central Asia
TKM,Turkmenistan,8792.5485039672,Europe & Central Asia
TTO,Trinidad and Tobago,19629.4653400829,Latin America & Caribbean
TUN,Tunisia,3747.41939149283,Middle East & North Africa
TUR,Turkiye,10674.5041731531,Europe & Central Asia
TUV,Tuvalu,5221.53279904243,East Asia & Pacific
TZA,Tanzania,1192.76647949219,Sub-Saharan Africa
UGA,Uganda,964.39586947645,Sub-Saharan Africa
UKR,Ukraine,4533.9755859375,Europe & Central Asia
URY,Uruguay,20795.0423535553,Latin America & Caribbean
USA,United States,76329.5822652029,North America
UZB,Uzbekistan,2255.15115496772,Europe & Central Asia
VCT,St. Vincent and the Grenadines,9125.32477064743,Latin America & Caribbean
VNM,Viet Nam,4163.51429874522,East Asia & Pacific
VUT,Vanuatu,3231.35129995571,East Asia & Pacific
XKX,Kosovo,5340.26879794836,Europe & Central Asia
YEM,"Yemen, Rep.",650.272218352095,Middle East & North Africa
ZAF,South Africa,6766.48125429478,Sub-Saharan Africa
ZMB,Zambia,1456.90157015445,Sub-Saharan Africa
ZWE,Zimbabwe,1676.82148896726,Sub-Saharan Africa
CHE,Switzerland,93259.9057183024,Europe & Central Asia
DEU,Germany,48717.9911402128,Europe & Central Asia
ECU,Ecuador,6391.28248430643,Latin America & Caribbean
GEO,Georgia,6674.95695994589,Europe & Central Asia
HND,Honduras,3040.17304596842,Latin America & Caribbean
HTI,Haiti,1748.25713229469,Latin America & Caribbean
IRN,"Iran, Islamic Rep.",4669.57137993878,Middle East & North Africa
KAZ,Kazakhstan,11492.031938762,Europe & Central Asia
LAO,Lao PDR,2054.43078086496,East Asia & Pacific
MDV,Maldives,11780.8169102421,South Asia
MEX,Mexico,11496.5228716049,Latin America & Caribbean
MRT,Mauritania,2065.15551570106,Sub-Saharan Africa
MYS,Malaysia,11993.1876132994,East Asia & Pacific
POL,Poland,18688.0044867103,Europe & Central Asia
PRI,Puerto Rico,35208.6371888414,Latin America & Caribbean
SLV,El Salvador,5127.32166823012,Latin America & Caribbean
SRB,Serbia,9537.68286673128,Europe & Central Asia
TLS,Timor-Leste,2389.2958750343,East Asia & Pacific
WSM,Samoa,3745.56036746313,East Asia & Pacific
