,id,nombre,PBI,Region
196,TLA,Latin America & the Caribbean (IDA & IBRD countries),9324.95930422935,
197,TMN,Middle East & North Africa (IDA & IBRD countries),4001.12264499328,
198,TSS,Sub-Saharan Africa (IDA & IBRD countries),1701.24538173745,
199,TTO,Trinidad and Tobago,19629.4653400829,Latin America & Caribbean
200,TUN,Tunisia,3747.41939149283,Middle East & North Africa
201,TUR,Turkiye,10674.5041731531,Europe & Central Asia
202,TUV,Tuvalu,5221.53279904243,East Asia & Pacific
203,TZA,Tanzania,1192.76647949219,Sub-Saharan Africa
204,UGA,Uganda,964.39586947645,Sub-Saharan Africa
205,UKR,Ukraine,4533.9755859375,Europe & Central Asia
206,UMC,Upper middle income,10993.3229334135,
207,URY,Uruguay,20795.0423535553,Latin America & Caribbean
208,USA,United States,76329.5822652029,North America
209,UZB,Uzbekistan,2255.15115496772,Europe & Central Asia
210,VCT,St. Vincent and the Grenadines,9125.32477064743,Latin America & Caribbean
211,VNM,Viet Nam,4163.51429874522,East Asia & Pacific
212,VUT,Vanuatu,3231.35129995571,East Asia & Pacific
213,WLD,World,12743.8516771218,
214,XKX,Kosovo,5340.26879794836,Europe & Central Asia
215,YEM,"Yemen, Rep.",650.272218352095,Middle East & North Africa
216,ZAF,South Africa,6766.48125429478,Sub-Saharan Africa
217,ZMB,Zambia,1456.90157015445,Sub-Saharan Africa
218,ZWE,Zimbabwe,1676.82148896726,Sub-Saharan Africa
219,CHE,Switzerland,93259.9057183024,Europe & Central Asia
220,DEU,Germany,48717.9911402128,Europe & Central Asia
221,ECU,Ecuador,6391.28248430643,Latin America & Caribbean
222,FRA,France,40886.2532680273,Europe & Central Asia
223,GEO,Georgia,6674.95695994589,Europe & Central Asia
224,HKG,"Hong Kong SAR, China",48983.6217162934,East Asia & Pacific
225,HND,Honduras,3040.17304596842,Latin America & Caribbean
226,HTI,Haiti,1748.25713229469,Latin America & Caribbean
227,IDB,IDA blend,1933.55647255046,
228,IRN,"Iran, Islamic Rep.",4669.57137993878,Middle East & North Africa
229,KAZ,Kazakhstan,11492.031938762,Europe & Central Asia
230,LAO,Lao PDR,2054.43078086496,East Asia & Pacific
231,LTU,Lithuania,25064.808914729,Europe & Central Asia
232,MDV,Maldives,11780.8169102421,South Asia
233,MEX,Mexico,11496.5228716049,Latin America & Caribbean
234,MRT,Mauritania,2065.15551570106,Sub-Saharan Africa
235,MYS,Malaysia,11993.1876132994,East Asia & Pacific
236,OSS,Other small states,16003.0975333558,
237,POL,Poland,18688.0044867103,Europe & Central Asia
238,PRI,Puerto Rico,35208.6371888414,Latin America & Caribbean
239,SLV,El Salvador,5127.32166823012,Latin America & Caribbean
240,SRB,Serbia,9537.68286673128,Europe & Central Asia
241,TLS,Timor-Leste,2389.2958750343,East Asia & Pacific
242,TSA,South Asia (IDA & IBRD),2287.41612436406,
243,WSM,Samoa,3745.56036746313,East Asia & Pacific
